DateTime,Players,Flags,Twitch Viewers
18/02/2018 00:00,1,,
19/02/2018 00:00,1,,
20/02/2018 00:00,1,,
21/02/2018 00:00,,,
22/02/2018 00:00,,,
23/02/2018 00:00,,,
24/02/2018 00:00,,,
25/02/2018 00:00,,,
26/02/2018 00:00,,,
27/02/2018 00:00,,,
28/02/2018 00:00,,,
01/03/2018 00:00,,,
02/03/2018 00:00,,,
03/03/2018 00:00,,,
04/03/2018 00:00,,,
05/03/2018 00:00,,,
06/03/2018 00:00,,,
07/03/2018 00:00,,,
08/03/2018 00:00,,,
09/03/2018 00:00,1,,
10/03/2018 00:00,1,,
11/03/2018 00:00,1,,
12/03/2018 00:00,1,,
13/03/2018 00:00,1,,
14/03/2018 00:00,,,
15/03/2018 00:00,,,
16/03/2018 00:00,,,
17/03/2018 00:00,,,
18/03/2018 00:00,,,
19/03/2018 00:00,,,
20/03/2018 00:00,2,,
21/03/2018 00:00,,,
22/03/2018 00:00,2,,
23/03/2018 00:00,2,,
24/03/2018 00:00,1,,
25/03/2018 00:00,2,,
26/03/2018 00:00,2,,
27/03/2018 00:00,2,,
28/03/2018 00:00,2,,
29/03/2018 00:00,,,
30/03/2018 00:00,,,
31/03/2018 00:00,,,
01/04/2018 00:00,,,
02/04/2018 00:00,,,
03/04/2018 00:00,,,
04/04/2018 00:00,,,
05/04/2018 00:00,,,
06/04/2018 00:00,,,
07/04/2018 00:00,,,
08/04/2018 00:00,,,
09/04/2018 00:00,,,
10/04/2018 00:00,,,
11/04/2018 00:00,,,
12/04/2018 00:00,,,
13/04/2018 00:00,,,
14/04/2018 00:00,,,
15/04/2018 00:00,,,
16/04/2018 00:00,,,
17/04/2018 00:00,,,
18/04/2018 00:00,,,
19/04/2018 00:00,,,
20/04/2018 00:00,,,
21/04/2018 00:00,,,
22/04/2018 00:00,,,
23/04/2018 00:00,,,
24/04/2018 00:00,,,
25/04/2018 00:00,,,
26/04/2018 00:00,,,
27/04/2018 00:00,,,
28/04/2018 00:00,,,
29/04/2018 00:00,,,
30/04/2018 00:00,,,
01/05/2018 00:00,1115,,3932
02/05/2018 00:00,912,,4522
03/05/2018 00:00,942,,5118
04/05/2018 00:00,874,,4769
05/05/2018 00:00,969,,1941
06/05/2018 00:00,940,,1199
07/05/2018 00:00,805,,11825
08/05/2018 00:00,796,,3519
09/05/2018 00:00,678,,1590
10/05/2018 00:00,712,,541
11/05/2018 00:00,720,,2470
12/05/2018 00:00,965,,36513
13/05/2018 00:00,856,,16207
